id ra dec ra1 dec1 ra2 dec2 ra3 dec3 ra4 dec4
T00015 90.0 -84.85714285714286 101.71794712425864 -83.37744362876387 109.46938036478636 -85.97028677897576 70.530619635214 -85.97028677897578 78.28205287574158 -83.37744362876387
T00016 112.5 -84.85714285714286 124.21794712425863 -83.37744362876387 131.96938036478636 -85.97028677897576 93.030619635214 -85.97028677897578 100.78205287574158 -83.37744362876387
T00017 135.0 -84.85714285714286 146.71794712425864 -83.37744362876387 154.46938036478633 -85.97028677897576 115.53061963521401 -85.97028677897578 123.2820528757416 -83.37744362876387
T00018 157.5 -84.85714285714286 169.21794712425864 -83.37744362876387 176.96938036478636 -85.97028677897576 138.030619635214 -85.97028677897578 145.78205287574158 -83.37744362876387
T00019 180.0 -84.85714285714286 191.71794712425864 -83.37744362876387 199.46938036478633 -85.97028677897576 160.530619635214 -85.97028677897578 168.28205287574158 -83.37744362876387
T00020 202.5 -84.85714285714286 214.21794712425864 -83.37744362876387 221.96938036478633 -85.97028677897576 183.03061963521398 -85.97028677897578 190.78205287574158 -83.37744362876387
T00021 225.0 -84.85714285714286 236.71794712425861 -83.37744362876387 244.4693803647863 -85.97028677897576 205.53061963521398 -85.97028677897578 213.28205287574158 -83.37744362876387
T00022 247.49999999999997 -84.85714285714286 259.2179471242586 -83.37744362876387 266.96938036478633 -85.97028677897576 228.03061963521395 -85.97028677897578 235.78205287574153 -83.37744362876387
T00023 270.0 -84.85714285714286 281.71794712425867 -83.37744362876387 289.4693803647864 -85.97028677897576 250.53061963521398 -85.97028677897578 258.28205287574156 -83.37744362876387
T00024 292.5 -84.85714285714286 304.2179471242586 -83.37744362876387 311.9693803647864 -85.97028677897576 273.030619635214 -85.97028677897578 280.78205287574156 -83.37744362876387
T00025 315.0 -84.85714285714286 326.7179471242586 -83.37744362876387 334.46938036478633 -85.97028677897576 295.530619635214 -85.97028677897578 303.2820528757416 -83.37744362876387
T00026 337.5 -84.85714285714286 349.2179471242586 -83.37744362876387 356.9693803647864 -85.97028677897576 318.030619635214 -85.97028677897578 325.7820528757416 -83.37744362876387
T00027 0.0 -82.28571428571429 8.465240988325045 -80.84476493125493 11.921346386420463 -83.48932852839798 348.0786536135798 -83.48932852839799 351.53475901167513 -80.84476493125494
T00028 16.363636363636363 -82.28571428571429 24.828877351961413 -80.84476493125494 28.28498275005683 -83.48932852839799 4.442289977216135 -83.48932852839799 7.898395375311488 -80.84476493125494
T00029 32.72727272727273 -82.28571428571429 41.19251371559777 -80.84476493125493 44.64861911369318 -83.48932852839798 20.805926340852498 -83.48932852839799 24.26203173894785 -80.84476493125494
T00030 49.090909090909086 -82.28571428571429 57.55615007923413 -80.84476493125493 61.012255477329546 -83.48932852839799 37.16956270448885 -83.48932852839799 40.62566810258421 -80.84476493125494
T00031 65.45454545454545 -82.28571428571429 73.9197864428705 -80.84476493125494 77.37589184096592 -83.48932852839798 53.53319906812522 -83.48932852839799 56.98930446622058 -80.84476493125494
T00032 81.81818181818183 -82.28571428571429 90.28342280650686 -80.84476493125493 93.73952820460228 -83.48932852839799 69.89683543176159 -83.48932852839799 73.35294082985695 -80.84476493125494
T00033 98.18181818181817 -82.28571428571429 106.64705917014322 -80.84476493125493 110.10316456823864 -83.48932852839798 86.26047179539795 -83.48932852839799 89.7165771934933 -80.84476493125494
T00034 114.54545454545455 -82.28571428571429 123.0106955337796 -80.84476493125494 126.466800931875 -83.48932852839799 102.62410815903432 -83.48932852839799 106.08021355712967 -80.84476493125494
T00035 130.9090909090909 -82.28571428571429 139.37433189741594 -80.84476493125493 142.8304372955114 -83.48932852839798 118.9877445226707 -83.48932852839799 122.44384992076604 -80.84476493125494
T00036 147.27272727272725 -82.28571428571429 155.73796826105232 -80.84476493125494 159.19407365914773 -83.48932852839799 135.35138088630706 -83.48932852839799 138.8074862844024 -80.84476493125494
T00037 163.63636363636365 -82.28571428571429 172.1016046246887 -80.84476493125494 175.5577100227841 -83.48932852839799 151.71501724994343 -83.48932852839799 155.1711226480388 -80.84476493125494
T00038 180.0 -82.28571428571429 188.46524098832504 -80.84476493125493 191.92134638642045 -83.48932852839798 168.07865361357977 -83.48932852839799 171.53475901167513 -80.84476493125494
T00039 196.36363636363635 -82.28571428571429 204.8288773519614 -80.84476493125493 208.2849827500568 -83.48932852839798 184.44228997721612 -83.48932852839799 187.89839537531145 -80.84476493125494
T00040 212.72727272727272 -82.28571428571429 221.19251371559776 -80.84476493125493 224.64861911369317 -83.48932852839798 200.8059263408525 -83.48932852839799 204.26203173894785 -80.84476493125494
T00041 229.0909090909091 -82.28571428571429 237.5561500792341 -80.84476493125493 241.01225547732952 -83.48932852839799 217.16956270448884 -83.48932852839799 220.6256681025842 -80.84476493125494
T00042 245.45454545454547 -82.28571428571429 253.9197864428705 -80.84476493125494 257.3758918409659 -83.48932852839799 233.5331990681252 -83.48932852839799 236.98930446622057 -80.84476493125494
T00043 261.8181818181818 -82.28571428571429 270.28342280650685 -80.84476493125493 273.73952820460227 -83.48932852839799 249.8968354317616 -83.48932852839799 253.35294082985692 -80.84476493125494
T00044 278.1818181818182 -82.28571428571429 286.6470591701432 -80.84476493125493 290.10316456823864 -83.48932852839798 266.2604717953979 -83.48932852839799 269.71657719349326 -80.84476493125494
T00045 294.5454545454545 -82.28571428571429 303.0106955337796 -80.84476493125493 306.46680093187496 -83.48932852839799 282.6241081590343 -83.48932852839799 286.08021355712964 -80.84476493125494
T00046 310.90909090909093 -82.28571428571429 319.37433189741597 -80.84476493125493 322.8304372955114 -83.48932852839798 298.9877445226707 -83.48932852839799 302.44384992076607 -80.84476493125494
T00047 327.2727272727273 -82.28571428571429 335.73796826105234 -80.84476493125494 339.19407365914776 -83.48932852839798 315.351380886307 -83.48932852839799 318.8074862844024 -80.84476493125494
T00048 343.6363636363636 -82.28571428571429 352.10160462468866 -80.84476493125494 355.5577100227841 -83.48932852839799 331.7150172499434 -83.48932852839799 335.17112264803876 -80.84476493125494
T00049 0.0 -79.71428571428571 6.629969272412946 -78.29528079466864 8.570963598931327 -80.95781243598245 351.42903640106886 -80.95781243598246 353.37003072758716 -78.29528079466864
T00050 12.857142857142858 -79.71428571428571 19.487112129555804 -78.29528079466864 21.428106456074186 -80.95781243598245 4.286179258211701 -80.95781243598246 6.227173584730042 -78.29528079466864
T00051 25.714285714285715 -79.71428571428571 32.344254986698665 -78.29528079466864 34.28524931321704 -80.95781243598245 17.143322115354568 -80.95781243598246 19.084316441872904 -78.29528079466864
T00052 38.57142857142857 -79.71428571428571 45.20139784384151 -78.29528079466864 47.1423921703599 -80.95781243598246 30.00046497249742 -80.95781243598246 31.941459299015754 -78.29528079466864
T00053 51.42857142857143 -79.71428571428571 58.05854070098437 -78.29528079466864 59.99953502750275 -80.95781243598246 42.85760782964027 -80.95781243598246 44.798602156158616 -78.29528079466864
T00054 64.28571428571429 -79.71428571428571 70.91568355812726 -78.29528079466864 72.85667788464562 -80.95781243598245 55.71475068678315 -80.95781243598246 57.6557450133015 -78.29528079466864
T00055 77.14285714285714 -79.71428571428571 83.77282641527009 -78.29528079466864 85.71382074178847 -80.95781243598245 68.57189354392598 -80.95781243598246 70.51288787044433 -78.29528079466864
T00056 90.0 -79.71428571428571 96.62996927241294 -78.29528079466864 98.57096359893133 -80.95781243598245 81.42903640106884 -80.95781243598246 83.37003072758718 -78.29528079466864
T00057 102.85714285714286 -79.71428571428571 109.4871121295558 -78.29528079466864 111.42810645607418 -80.95781243598246 94.2861792582117 -80.95781243598246 96.22717358473004 -78.29528079466864
T00058 115.71428571428571 -79.71428571428571 122.34425498669867 -78.29528079466864 124.28524931321705 -80.95781243598245 107.14332211535456 -80.95781243598246 109.08431644187291 -78.29528079466864
T00059 128.57142857142858 -79.71428571428571 135.20139784384156 -78.29528079466864 137.1423921703599 -80.95781243598245 120.00046497249744 -80.95781243598246 121.94145929901579 -78.29528079466864
T00060 141.42857142857142 -79.71428571428571 148.0585407009844 -78.29528079466864 149.99953502750276 -80.95781243598246 132.85760782964027 -80.95781243598246 134.79860215615864 -78.29528079466864
T00061 154.28571428571428 -79.71428571428571 160.91568355812723 -78.29528079466864 162.8566778846456 -80.95781243598245 145.71475068678313 -80.95781243598246 147.65574501330147 -78.29528079466864
T00062 167.14285714285714 -79.71428571428571 173.7728264152701 -78.29528079466864 175.71382074178848 -80.95781243598245 158.571893543926 -80.95781243598246 160.51288787044433 -78.29528079466864
T00063 180.0 -79.71428571428571 186.62996927241292 -78.29528079466864 188.5709635989313 -80.95781243598245 171.42903640106883 -80.95781243598246 173.3700307275872 -78.29528079466864
T00064 192.85714285714286 -79.71428571428571 199.48711212955578 -78.29528079466864 201.42810645607418 -80.95781243598246 184.2861792582117 -80.95781243598246 186.22717358473002 -78.29528079466864
T00065 205.71428571428572 -79.71428571428571 212.34425498669864 -78.29528079466864 214.28524931321704 -80.95781243598245 197.14332211535455 -80.95781243598246 199.0843164418729 -78.29528079466864
T00066 218.57142857142858 -79.71428571428571 225.20139784384153 -78.29528079466864 227.1423921703599 -80.95781243598245 210.00046497249744 -80.95781243598246 211.94145929901578 -78.29528079466864
T00067 231.42857142857142 -79.71428571428571 238.05854070098437 -78.29528079466864 239.99953502750273 -80.95781243598245 222.85760782964027 -80.95781243598246 224.7986021561586 -78.29528079466864
T00068 244.28571428571428 -79.71428571428571 250.91568355812723 -78.29528079466864 252.8566778846456 -80.95781243598245 235.71475068678313 -80.95781243598246 237.65574501330147 -78.29528079466864
T00069 257.14285714285717 -79.71428571428571 263.7728264152701 -78.29528079466864 265.7138207417885 -80.95781243598246 248.57189354392602 -80.95781243598246 250.51288787044436 -78.29528079466864
T00070 270.0 -79.71428571428571 276.62996927241295 -78.29528079466864 278.5709635989313 -80.95781243598246 261.42903640106886 -80.95781243598246 263.37003072758716 -78.29528079466864
T00071 282.85714285714283 -79.71428571428571 289.4871121295558 -78.29528079466864 291.42810645607415 -80.95781243598246 274.2861792582117 -80.95781243598246 276.22717358473005 -78.29528079466864
T00072 295.7142857142857 -79.71428571428571 302.3442549866986 -78.29528079466864 304.28524931321704 -80.95781243598245 287.1433221153546 -80.95781243598246 289.0843164418729 -78.29528079466864
T00073 308.57142857142856 -79.71428571428571 315.2013978438415 -78.29528079466864 317.14239217035987 -80.95781243598246 300.0004649724974 -80.95781243598246 301.9414592990157 -78.29528079466864
